timestamp,simulation_time,avg_happiness,decision_diversity,computational_efficiency,emergent_patterns,agent_count
1760554523.702372,0.1,0.8627048818675375,0.5579250481919705,0.18766511230007776,0,10
1760554523.81224,0.2,0.8613848818675376,0.5579250481919705,0.3734095411063481,0,10
1760554523.920365,0.30000000000000004,0.8600648818675376,0.5579250481919705,0.5567655249862611,0,10
1760554524.029257,0.4,0.8587448818675375,0.5579250481919705,0.7380355494790223,0,10
1760554524.140024,0.5,0.8574248818675377,0.5579250481919705,0.9170210737770221,0,10
1760554524.25114,0.6,0.8561048818675376,0.5579250481919705,1.0,0,10
1760554524.360857,0.7,0.8547848818675376,0.5579250481919705,1.0,0,10
1760554524.469362,0.7999999999999999,0.8534648818675376,0.5579250481919705,1.0,0,10
1760554524.577354,0.8999999999999999,0.8521448818675378,0.5579250481919705,1.0,0,10
1760554524.686376,0.9999999999999999,0.8508248818675377,0.5579250481919705,1.0,0,10
